,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
247,sabgul,Xema sabini,Sabine's Gull,Sabine's Gull,waterbird,Charadriiformes,Laridae,12,3,
249,sander,Calidris alba,Sanderling,Sanderling,shorebird,Charadriiformes,Scolopacidae,13,3,
250,santer1,Thalasseus sandvicensis,Sandwich Tern,Sandwich Tern,waterbird,Charadriiformes,Laridae,10,3,
254,semsan,Calidris pusilla,Semipalmated Sandpiper,Semipalmated Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,
255,shbdow,Limnodromus griseus,Short-billed Dowitcher,Short-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,15,3,
262,snoplo5,Anarhynchus nivosus,Snowy Plover,NA,shorebird,Charadriiformes,Charadriidae,14,3,
263,solsan,Tringa solitaria,Solitary Sandpiper,Solitary Sandpiper,shorebird,Charadriiformes,Scolopacidae,10,3,
266,sposan,Actitis macularius,Spotted Sandpiper,Spotted Sandpiper,shorebird,Charadriiformes,Scolopacidae,12,3,
268,stisan,Calidris himantopus,Stilt Sandpiper,Stilt Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,
282,uplsan,Bartramia longicauda,Upland Sandpiper,Upland Sandpiper,shorebird,Charadriiformes,Scolopacidae,11,1,
286,wantat1,Tringa incana,Wandering Tattler,Wandering Tattler,shorebird,Charadriiformes,Scolopacidae,14,3,
289,wesgul,Larus occidentalis,Western Gull,Western Gull,waterbird,Charadriiformes,Laridae,15,3,
290,wessan,Calidris mauri,Western Sandpiper,Western Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,
300,willet1,Tringa semipalmata,Willet,Willet,shorebird,Charadriiformes,Scolopacidae,14,3,
301,wilpha,Phalaropus tricolor,Wilson's Phalarope,Wilson's Phalarope,shorebird,Charadriiformes,Scolopacidae,11,3,
302,wilsni1,Gallinago delicata,Wilson's Snipe,Wilson's Snipe,shorebird,Charadriiformes,Scolopacidae,9,3,
311,y00478,Larus glaucoides,Iceland Gull,Iceland Gull,waterbird,Charadriiformes,Laridae,11,3,
308,woosto,Mycteria americana,Wood Stork,Wood Stork,waterbird,Ciconiiformes,Ciconiidae,10,3,
106,eucdov,Streptopelia decaocto,Eurasian Collared-Dove,Eurasian Collared-Dove,landbird,Columbiformes,Columbidae,5,1,
178,moudov,Zenaida macroura,Mourning Dove,Mourning Dove,landbird,Columbiformes,Columbidae,7,1,
235,rocpig,Columba livia,Rock Pigeon,Rock Pigeon,landbird,Columbiformes,Columbidae,7,1,
27,belkin1,Megaceryle alcyon,Belted Kingfisher,Belted Kingfisher,landbird,Coraciiformes,Alcedinidae,10,3,
30,bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,Black-billed Cuckoo,landbird,Cuculiformes,Cuculidae,12,1,
314,yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,Yellow-billed Cuckoo,landbird,Cuculiformes,Cuculidae,11,1,
8,amekes,Falco sparverius,American Kestrel,American Kestrel,landbird,Falconiformes,Falconidae,10,1,
175,merlin,Falco columbarius,Merlin,Merlin,landbird,Falconiformes,Falconidae,8,1,
203,perfal,Falco peregrinus,Peregrine Falcon,Peregrine Falcon,landbird,Falconiformes,Falconidae,9,1,
183,norbob,Colinus virginianus,Northern Bobwhite,Northern Bobwhite,landbird,Galliformes,Odontophoridae,12,1,
233,rinphe1,Phasianus colchicus,Ring-necked Pheasant,Ring-necked Pheasant,landbird,Galliformes,Phasianidae,8,1,
245,rufgro,Bonasa umbellus,Ruffed Grouse,Ruffed Grouse,landbird,Galliformes,Phasianidae,8,1,
267,sprgro,Canachites canadensis,Spruce Grouse,Spruce Grouse,landbird,Galliformes,Phasianidae,8,1,
303,wiltur,Meleagris gallopavo,Wild Turkey,Wild Turkey,landbird,Galliformes,Phasianidae,7,1,
86,comloo,Gavia immer,Common Loon,Common Loon,waterbird,Gaviiformes,Gaviidae,9,5,
200,pacloo,Gavia pacifica,Pacific Loon,Pacific Loon,waterbird,Gaviiformes,Gaviidae,10,5,
229,retloo,Gavia stellata,Red-throated Loon,Red-throated Loon,waterbird,Gaviiformes,Gaviidae,9,5,
83,comgal1,Gallinula galeata,Common Gallinule,Common Gallinule,waterbird,Gruiformes,Rallidae,8,3,
