,X,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS.max,habitat_score,habitat_comment,English,bodymass,mass_comments
92,249,sander,Calidris alba,Sanderling,Sanderling,shorebird,Charadriiformes,Scolopacidae,13,3,,Sanderling,51.71,
93,250,santer1,Thalasseus sandvicensis,Sandwich Tern,Sandwich Tern,waterbird,Charadriiformes,Laridae,10,3,,NA,199.83,
94,254,semsan,Calidris pusilla,Semipalmated Sandpiper,Semipalmated Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,,Semipalmated Sandpiper,27.5,
95,255,shbdow,Limnodromus griseus,Short-billed Dowitcher,Short-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,15,3,,Short-billed Dowitcher,110.53,
96,262,snoplo5,Anarhynchus nivosus,Snowy Plover,NA,shorebird,Charadriiformes,Charadriidae,14,3,,NA,45.25,AAB
97,263,solsan,Tringa solitaria,Solitary Sandpiper,Solitary Sandpiper,shorebird,Charadriiformes,Scolopacidae,10,3,,Solitary Sandpiper,48.4,
98,266,sposan,Actitis macularius,Spotted Sandpiper,Spotted Sandpiper,shorebird,Charadriiformes,Scolopacidae,12,3,,Spotted Sandpiper,40.4,
99,268,stisan,Calidris himantopus,Stilt Sandpiper,Stilt Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,,Stilt Sandpiper,57.24,
100,282,uplsan,Bartramia longicauda,Upland Sandpiper,Upland Sandpiper,shorebird,Charadriiformes,Scolopacidae,11,1,,Upland Sandpiper,158.92,
101,286,wantat1,Tringa incana,Wandering Tattler,Wandering Tattler,shorebird,Charadriiformes,Scolopacidae,14,3,,NA,108.24,
102,289,wesgul,Larus occidentalis,Western Gull,Western Gull,waterbird,Charadriiformes,Laridae,15,3,,Western Gull,922.78,
103,290,wessan,Calidris mauri,Western Sandpiper,Western Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,,Western Sandpiper,27.82,
104,300,willet1,Tringa semipalmata,Willet,Willet,shorebird,Charadriiformes,Scolopacidae,14,3,,NA,245.7,
105,301,wilpha,Phalaropus tricolor,Wilson's Phalarope,Wilson's Phalarope,shorebird,Charadriiformes,Scolopacidae,11,3,,NA,59.39,
106,302,wilsni1,Gallinago delicata,Wilson's Snipe,Wilson's Snipe,shorebird,Charadriiformes,Scolopacidae,9,3,,NA,112.5,AAB
107,311,y00478,Larus glaucoides,Iceland Gull,Iceland Gull,waterbird,Charadriiformes,Laridae,11,3,,Iceland Gull,693.31,
108,308,woosto,Mycteria americana,Wood Stork,Wood Stork,waterbird,Ciconiiformes,Ciconiidae,10,3,,Wood Stork,2554.47,
109,106,eucdov,Streptopelia decaocto,Eurasian Collared-Dove,Eurasian Collared-Dove,landbird,Columbiformes,Columbidae,5,1,,Eurasian Collared-dove,148.96,
110,178,moudov,Zenaida macroura,Mourning Dove,Mourning Dove,landbird,Columbiformes,Columbidae,7,1,,Mourning Dove,118.93,
111,235,rocpig,Columba livia,Rock Pigeon,Rock Pigeon,landbird,Columbiformes,Columbidae,7,1,,Rock Pigeon,354.2,
112,27,belkin1,Megaceryle alcyon,Belted Kingfisher,Belted Kingfisher,landbird,Coraciiformes,Alcedinidae,10,3,,Belted Kingfisher,148,
113,30,bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,Black-billed Cuckoo,landbird,Cuculiformes,Cuculidae,12,1,,Black-billed Cuckoo,50.9,
114,314,yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,Yellow-billed Cuckoo,landbird,Cuculiformes,Cuculidae,11,1,,Yellow-billed Cuckoo,64,
115,8,amekes,Falco sparverius,American Kestrel,American Kestrel,landbird,Falconiformes,Falconidae,10,1,,American Kestrel,114.61,
116,175,merlin,Falco columbarius,Merlin,Merlin,landbird,Falconiformes,Falconidae,8,1,,Merlin,188.5,
117,203,perfal,Falco peregrinus,Peregrine Falcon,Peregrine Falcon,landbird,Falconiformes,Falconidae,9,1,,Peregrine Falcon,759.95,
118,183,norbob,Colinus virginianus,Northern Bobwhite,Northern Bobwhite,landbird,Galliformes,Odontophoridae,12,1,,Northern Bobwhite,171.89,
119,233,rinphe1,Phasianus colchicus,Ring-necked Pheasant,Ring-necked Pheasant,landbird,Galliformes,Phasianidae,8,1,,Common Pheasant,1120.31,
120,245,rufgro,Bonasa umbellus,Ruffed Grouse,Ruffed Grouse,landbird,Galliformes,Phasianidae,8,1,,Ruffed Grouse,530.91,
121,267,sprgro,Canachites canadensis,Spruce Grouse,Spruce Grouse,landbird,Galliformes,Phasianidae,8,1,,NA,473.65,
122,303,wiltur,Meleagris gallopavo,Wild Turkey,Wild Turkey,landbird,Galliformes,Phasianidae,7,1,,Wild Turkey,5791.37,
123,86,comloo,Gavia immer,Common Loon,Common Loon,waterbird,Gaviiformes,Gaviidae,9,5,,Common Loon,4956.81,
124,200,pacloo,Gavia pacifica,Pacific Loon,Pacific Loon,waterbird,Gaviiformes,Gaviidae,10,5,,Pacific Loon,2251.1,
125,229,retloo,Gavia stellata,Red-throated Loon,Red-throated Loon,waterbird,Gaviiformes,Gaviidae,9,5,,Red-throated Loon,1486,
126,83,comgal1,Gallinula galeata,Common Gallinule,Common Gallinule,waterbird,Gruiformes,Rallidae,8,3,,NA,383,AAB
127,152,kinrai4,Rallus elegans,King Rail,King Rail,waterbird,Gruiformes,Rallidae,15,3,,King Rail,313.31,
128,163,limpki,Aramus guarauna,Limpkin,Limpkin,waterbird,Gruiformes,Aramidae,8,3,,Limpkin,1080,
129,214,purgal2,Porphyrio martinica,Purple Gallinule,NA,waterbird,Gruiformes,Rallidae,11,3,,Yellow-legged Gallinule,235.06,
130,248,sancra,Antigone canadensis,Sandhill Crane,Sandhill Crane,waterbird,Gruiformes,Gruidae,8,3,,NA,4296.22,
131,265,sora,Porzana carolina,Sora,Sora,waterbird,Gruiformes,Rallidae,9,3,,Sora,74.8,
132,285,virrai,Rallus limicola,Virginia Rail,Virginia Rail,waterbird,Gruiformes,Rallidae,10,3,,Virginia Rail,84.1,
133,310,y00475,Fulica americana,American Coot,American Coot,waterbird,Gruiformes,Rallidae,10,3,,American Coot,636.74,
