scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Melipotes_fumigatus,Passeriformes,9.1,11.5,1.55,58.6,De,Se,Pl,In,D
Melithreptus_brevirostris,Passeriformes,5.6,6.85,0.68,12.6,So,Se,Om,In,D
Melithreptus_lunatus,Passeriformes,5.4,7.4,0.6,14.01,So,Se,An,In,D
Mellisuga_minima,Caprimulgiformes,3.4,4.5,0.13,2.4,So,Se,Pl,Ae,D
Melopsittacus_undulatus,Psittaciformes,6.9,7.5,1.5,28.99,Op,Pm,Pl,Ge,D
Melospiza_georgiana,Passeriformes,6.9,7.95,0.81,16.1,So,Mi,Om,Ge,D
Melospiza_melodia,Passeriformes,6.8,8.45,1.06,21.91,So,Pm,Om,Ge,D
Menura_novaehollandiae,Passeriformes,17.6,22.28,10.71,972.62,De,Se,An,Te,D
Mergus_serrator,Anseriformes,11.73,NA,4.83,1015.17,Op,Mi,An,Aq,D
Merops_albicollis,Coraciiformes,8,9.8,0.51,25.9,Op,Pm,An,In,D
Merops_nubicus,Coraciiformes,9.6,11.8,0.87,42.4,So,Pm,An,In,D
Merops_orientalis,Coraciiformes,7.2,8.65,0.48,14.8,So,Se,An,In,D
Merops_pusillus,Coraciiformes,6.4,8,0.41,15.1,So,Se,An,In,D
Microeca_fascinans,Passeriformes,6.9,8.4,0.54,14.47,So,Mi,An,In,D
Microeca_flavigaster,Passeriformes,7,8.7,0.51,12.1,So,Se,An,In,D
Microhierax_erythrogenys,Falconiformes,10.95,NA,1.4,49.96,So,Se,An,In,D
Microhierax_fringillarius,Falconiformes,9.5,NA,1.16,42.9,So,Se,An,In,D
Micropsitta_pusio,Psittaciformes,5.7,7.25,0.98,14,So,Se,Pl,In,D
Milvus_migrans,Accipitriformes,20,NA,5.82,734.1,Op,Mi,Om,Ae,D
Milvus_milvus,Accipitriformes,20.3,NA,7.72,1071.77,So,Pm,Om,Ge,D
Mimus_polyglottos,Passeriformes,8.9,11.7,1.38,48.5,So,Mi,Om,Ge,D
Minla_ignotincta,Passeriformes,6.4,7.5,0.71,14.3,So,Se,An,In,D
Mino_dumontii,Passeriformes,12.3,14.6,2.98,217,De,Se,Pl,In,D
Mionectes_oleagineus,Passeriformes,6.57,7.6,0.45,11.17,De,Se,Pl,In,D
Mirafra_javanica,Passeriformes,6,8.6,0.73,23,Op,Se,Om,Te,D
Mitrephanes_phaeocercus,Passeriformes,6.2,7.5,0.32,8.59,De,Se,An,In,D
Mitrospingus_cassinii,Passeriformes,8.4,10.35,1.31,40.4,So,Se,Om,In,D
Mniotilta_varia,Passeriformes,5.8,7.1,0.44,10.9,De,Mi,An,In,D
Molothrus_ater,Passeriformes,8.2,9.15,1.15,40.26,So,Mi,An,Te,D
Molothrus_oryzivorus,Passeriformes,11.7,13.3,3.14,181.85,De,Se,Om,Te,D
Momotus_momota,Coraciiformes,14,17.65,2.19,114.96,De,Se,An,In,D
Monachella_muelleriana,Passeriformes,7.9,9.6,0.75,24.5,Op,Se,An,In,D
Monarcha_trivirgatus,Passeriformes,7.7,9.5,0.63,12.7,De,Se,An,In,D
Monias_benschi,Mesitornithiformes,10.1,12.45,2,137.94,De,Se,An,Te,D
Monticola_solitarius,Passeriformes,9.4,13.3,1.27,53.65,Op,Pm,An,In,D
Montifringilla_nivalis,Passeriformes,6.7,8.55,1.05,36.9,Op,Pm,Pl,Te,D
Motacilla_alba,Passeriformes,7.1,8.25,0.6,23.93,Op,Mi,An,Te,D
Motacilla_cinerea,Passeriformes,6.2,7.75,0.51,17.15,Op,Pm,An,Te,D
Motacilla_flava,Passeriformes,7.2,8.6,0.55,17.68,Op,Mi,An,Te,D
Mulleripicus_fulvus,Piciformes,12.8,14.55,4.43,312.25,De,Se,An,In,D
Muscisaxicola_alpinus,Passeriformes,7.3,9.8,0.78,26.1,Op,Pm,An,Te,D
Musophaga_rossae,Musophagiformes,14.9,17.75,4.05,361.42,So,Se,Pl,In,D
Musophaga_violacea,Musophagiformes,13.8,17.15,3.57,360,So,Se,Pl,In,D
Myiagra_inquieta,Passeriformes,7.9,9.5,0.76,20.9,So,Pm,An,In,D
Myiagra_rubecula,Passeriformes,7.3,8.9,0.54,12.05,So,Se,An,In,D
Myiarchus_cinerascens,Passeriformes,9.1,10.5,0.77,28.2,So,Mi,An,In,D
Myiarchus_crinitus,Passeriformes,8.38,8.01,0.91,32.1,De,Mi,Om,In,D
Myiarchus_stolidus,Passeriformes,8.6,10.35,0.65,20.8,De,Se,An,In,D
Myiarchus_tuberculifer,Passeriformes,8.5,9.8,0.66,17.7,De,Se,An,In,D
Myiarchus_tyrannulus,Passeriformes,9.1,11.03,0.98,35.45,So,Pm,An,In,D
Myiobius_barbatus,Passeriformes,6.9,8.7,0.35,11,De,Se,An,In,D
Myiodynastes_maculatus,Passeriformes,9.73,11.84,1.13,43.2,So,Mi,An,In,D
Myiophobus_fasciatus,Passeriformes,6.7,8.15,0.37,9.9,So,Mi,An,In,D
Myiopsitta_monachus,Psittaciformes,8.7,10.2,4.08,120,So,Se,Pl,In,D
Myiozetetes_similis,Passeriformes,8,10.05,0.82,28,So,Pm,An,In,D
Myrmeciza_exsul,Passeriformes,9.8,10.4,1.03,26.5,De,Se,An,In,D
Myrmeciza_ferruginea,Passeriformes,6.6,9.3,0.82,26.1,De,Se,An,Te,D
Myrmotherula_axillaris,Passeriformes,5.3,6.9,0.39,8.09,De,Se,An,In,D
Myzomela_obscura,Passeriformes,5.7,6.35,0.51,11.88,So,Se,Pl,In,D
Nandayus_nenday,Psittaciformes,9.9,11.65,4.55,128,So,Se,Pl,In,D
Necrosyrtes_monachus,Accipitriformes,21,NA,12.25,2043,So,Se,Ca/Re,Te,D
Nectarinia_jugularis,Passeriformes,4.8,6.45,0.4,8.99,So,Se,Om,In,D
Nectarinia_olivacea,Passeriformes,6,7.4,0.46,9.65,De,Se,Om,In,D
Neochmia_phaeton,Passeriformes,5.5,6.85,0.5,10,So,Se,Pl,Ge,D
Neochmia_temporalis,Passeriformes,4.8,6,0.52,11.4,So,Se,Pl,Te,D
Neophema_splendida,Psittaciformes,6.8,NA,1.28,38.6,So,Se,Pl,Te,D
Neophron_percnopterus,Accipitriformes,22.05,NA,10.62,2082,Op,Mi,Om,Ge,D
Neopsephotus_bourkii,Psittaciformes,6.63,8.54,1.25,44.4,So,Se,Pl,Te,D
Neopsittacus_musschenbroekii,Psittaciformes,7.6,8.9,2.45,50.9,De,Se,Pl,In,D
Neotis_denhami,Otidiformes,18.1,21.2,12.25,3970.2,Op,Se,An,Te,D
Nestor_meridionalis,Psittaciformes,12.7,14.7,13,428.01,De,Se,Pl,In,D
Nestor_notabilis,Psittaciformes,14.3,16.68,14.4,862.97,So,Se,Pl,In,D
Nicator_chloris,Passeriformes,9.8,12.2,1.28,46.1,De,Se,An,In,D
Niltava_grandis,Passeriformes,10.8,13.35,0.95,30.3,De,Se,An,In,D
Ninox_connivens,Strigiformes,25.3,NA,6.4,577.99,So,Se,An,In,N
Ninox_jacquinoti,Strigiformes,19.1,NA,4.38,200.81,De,Se,An,In,N
Ninox_novaeseelandiae,Strigiformes,22.3,NA,5.53,183.37,De,Pm,An,In,N
Notharchus_macrorhynchos,Piciformes,15.2,17.48,1.7,95.89,So,Se,An,In,D
Nothoprocta_ornata,Struthioniformes,12.1,15.9,2.85,619.27,So,Se,Pl,Te,D
Nothoprocta_perdicaria,Struthioniformes,10.23,12.04,1.88,458,So,Se,Pl,Te,D
Nothura_maculosa,Struthioniformes,11,13.85,1.58,257.48,So,Se,Pl,Te,D
Nucifraga_caryocatactes,Passeriformes,14,17.2,5.32,182.51,De,Pm,Om,In,D
Numenius_arquata,Charadriiformes,14.7,NA,4.63,802.99,Op,Mi,An,Te,D
Numenius_phaeopus,Charadriiformes,13.4,NA,3.13,364.57,Op,Mi,An,Te,D
Numenius_tahitiensis,Charadriiformes,13.1,NA,3.42,400.08,Op,Mi,Om,Te,D
Numida_meleagris,Galliformes,14.3,18.7,4.08,1299,So,Se,Pl,Te,D
Nyctibius_griseus,Caprimulgiformes,20.4,NA,1.98,172.04,De,Se,An,In,N
Nyctidromus_albicollis,Caprimulgiformes,13.4,NA,0.91,57.84,So,Se,An,In,N
Nyctiphrynus_ocellatus,Caprimulgiformes,10.33,NA,0.74,39.6,De,Se,An,In,N
Nyctiprogne_leucopyga,Caprimulgiformes,9.8,NA,0.51,27.3,De,Se,An,Ae,N
Nymphicus_hollandicus,Psittaciformes,7.54,9.19,2.39,94.61,Op,Pm,Pl,Te,D
Ocyphaps_lophotes,Columbiformes,11.2,13.25,1.7,204,Op,Se,Pl,Te,D
Oena_capensis,Columbiformes,7.8,9.25,0.61,40.6,Op,Pm,Pl,Te,D
Oenanthe_oenanthe,Passeriformes,7.2,9.7,0.78,25.39,Op,Mi,An,In,D
Onychorhynchus_coronatus,Passeriformes,8.15,9.43,0.47,14,De,Pm,An,In,D
Opisthocomus_hoazin,Opisthocomiformes,10.73,13.18,3.89,696,So,Se,Pl,In,D
Oreocharis_arfaki,Passeriformes,7.2,8.2,0.68,19.7,De,Se,Pl,In,D
Oreoica_gutturalis,Passeriformes,9.6,12.25,1.67,62.8,So,Se,An,Te,D
Oreopsittacus_arfaki,Psittaciformes,5.8,6.93,1.15,20.2,De,Se,Pl,In,D
Oreortyx_pictus,Galliformes,10.1,12.95,1.68,233,So,Se,Pl,Te,D
Origma_solitaria,Passeriformes,6.8,8.4,0.85,14.34,Op,Se,An,Ge,D
Oriolus_chinensis,Passeriformes,11.26,13.73,1.8,82.6,So,Pm,Om,In,D
Oriolus_flavocinctus,Passeriformes,11.3,13.5,2.1,109,De,Se,Pl,In,D
