species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
treswa,Tachycineta bicolor,Tree Swallow,landbird,Passeriformes,Hirundinidae,10,2,,21.2,1.301660478,5.767823852,1,1,3,5,30316.62016,4.554908316,18,0.888727079,15.99708742,0.793117409,9849.352503
triher,Egretta tricolor,Tricolored Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,372.3,13.78445285,5.837704212,3,1,4,5,81.59377701,1.009567636,48,0.002391909,0.114811636,0.598785425,281.4933034
truswa,Cygnus buccinator,Trumpeter Swan,waterfowl,Anseriformes,Anatidae,11,1,Swans increased in abundance (Song et al. 2024),11071.13,225.242314,8.032018523,5,2,4,4,148.9258314,1.017462952,72,0.004365738,0.314333132,0.443319838,70.82315643
tuftit,Baeolophus bicolor,Tufted Titmouse,landbird,Passeriformes,Paridae,7,1,,21.6,1.321851885,7.86580394,2,2,1,4,2857.286812,1.335043702,3,0.083760925,0.251282776,0.890283401,2156.384691
tunswa,Cygnus columbianus,Tundra Swan,waterfowl,Anseriformes,Anatidae,11,1,Swans increased in abundance (Song et al. 2024),6377.96,143.0255283,12.21290285,5,4,4,2,1548.473918,1.181573103,56,0.045393276,2.542023448,0.546963563,1697.102501
turvul,Cathartes aura,Turkey Vulture,landbird,Cathartiformes,Cathartidae,6,1,,1518.24,43.86240696,22.67761567,4,5,1,1,557.8003017,1.065407322,2.5,0.01635183,0.040879576,0.893522267,496.4065751
uplsan,Bartramia longicauda,Upland Sandpiper,shorebird,Charadriiformes,Scolopacidae,11,1,,158.92,6.838013615,7.881326899,3.535714286,2,4,4,43.10470102,1.005054431,15.07142857,0.001263608,0.019044373,0.812087912,22.74103732
veery,Catharus fuscescens,Veery,landbird,Passeriformes,Turdidae,11,1,,31.9,1.822349278,5.977227552,2,1,4,5,14763.66421,2.731178225,14,0.432794556,6.059123787,0.81902834,9448.223931
vesspa,Pooecetes gramineus,Vesper Sparrow,landbird,Passeriformes,Passerellidae,11,1,,25.68,1.524268825,6.141142038,3,1,4,5,207.6983547,1.024354582,16,0.006088645,0.097418328,0.806072874,119.1323941
virrai,Rallus limicola,Virginia Rail,waterbird,Gruiformes,Rallidae,10,3,,84.1,4.048826335,9.862612255,3,3,3,3,14591.29853,2.71096673,27,0.427741683,11.54902543,0.734817814,5405.632222
warvir,Vireo gilvus,Warbling Vireo,landbird,Passeriformes,Vireonidae,8,1,,12.67,0.851916172,5.886931016,2,1,2,5,1532.210917,1.179666114,7,0.044916528,0.314415699,0.86437247,839.2472628
wessan,Calidris mauri,Western Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,5,Shorebirds strongly negatively affected in Song et al. 2024,27.82,1.628126456,7.602335506,3.535714286,2,5,4,19.52389189,1.00228936,56.51785714,0.00057234,0.032347425,0.543609023,48.23302201
whbnut,Sitta carolinensis,White-breasted Nuthatch,landbird,Passeriformes,Sittidae,6,1,,21,1.291539609,7.100573713,2,2,1,4,2928.068579,1.343343529,3,0.085835882,0.257507646,0.890283401,2454.945175
whcspa,Zonotrichia leucophrys,White-crowned Sparrow,landbird,Passeriformes,Passerellidae,9,1,,28,1.636796459,13.96678372,2.416666667,4,3,2,194.4090601,1.022796287,6.625,0.005699072,0.037756351,0.866801619,170.0846468
whevir,Vireo griseus,White-eyed Vireo,landbird,Passeriformes,Vireonidae,7,1,,11.4,0.780946896,6.065377956,2,1,1,5,819.3457979,1.096075987,3.5,0.024018997,0.084066488,0.887044534,619.6355189
whiibi,Eudocimus albus,White Ibis,waterbird,Pelecaniformes,Threskiornithidae,9,3,,889.66,28.24521104,6.024902754,4,1,3,5,61.54695023,1.007216958,40.5,0.001804239,0.073071697,0.647368421,104.2873908
whtspa,Zonotrichia albicollis,White-throated Sparrow,landbird,Passeriformes,Passerellidae,9,1,,24.4,1.461421893,6.290796182,3,1,2,5,6452.005915,1.756558263,8,0.189139566,1.513116526,0.857894737,4719.376973
whwcro,Loxia leucoptera,White-winged Crossbill,landbird,Passeriformes,Fringillidae,6,1,,28.69,1.669941032,14.35846086,2.125,5,1,1,113.0173938,1.01325235,1.5625,0.003313088,0.005176699,0.899595142,676.7432593
whwsco2,Melanitta deglandi,White-winged Scoter,waterfowl,Anseriformes,Anatidae,12,5,,1800.17,50.46720342,6.716110829,5,2,4,4,3497.163968,1.410075306,72,0.102518826,7.381355499,0.443319838,6464.348113
wilfly,Empidonax traillii,Willow Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,13.39,0.891587777,6.242977594,1,1,3,5,3483.855564,1.40851477,9,0.102128693,0.919158233,0.851417004,2016.16991
willet1,Tringa semipalmata,Willet,shorebird,Charadriiformes,Scolopacidae,14,5,Shorebirds strongly negatively affected in Song et al. 2024,245.7,9.789441405,12.39677009,3,4,5,2,742.3371682,1.087046002,37.5,0.0217615,0.816056267,0.666801619,1662.329751
wilsni1,Gallinago delicata,Wilson's Snipe,shorebird,Charadriiformes,Scolopacidae,9,5,Shorebirds strongly negatively affected in Song et al. 2024,112.5,5.144979459,6.496773973,3.535714286,1,3,5,1376.703112,1.161431364,38.41071429,0.040357841,1.550173499,0.660902256,807.8204702
wiltur,Meleagris gallopavo,Wild Turkey,landbird,Galliformes,Phasianidae,7,1,,5791.37,132.1017438,9.659882117,5,3,1,3,2668.724398,1.312932989,4,0.078233247,0.312932989,0.883805668,2726.219104
winwre3,Troglodytes hiemalis,Winter Wren,landbird,Passeriformes,Troglodytidae,12,1,,9.74,0.686023061,9.467681646,2,3,4,3,9509.872845,2.115121867,10,0.278780467,2.787804666,0.844939271,8506.776746
wlswar,Cardellina pusilla,Wilson's Warbler,landbird,Passeriformes,Parulidae,9,1,,6.96,0.520174721,7.835995242,2,2,2,4,238.2115477,1.02793254,6,0.006983135,0.04189881,0.870850202,132.3272307
